acc_x	acc_y	acc_z	mag	dif_x	dif_y	dif_z	diff_mag
0.07	-0.06	1.13	1.13	408.00	339.20	499.20	728.51	
0.06	-0.06	1.12	1.13	364.00	313.60	474.40	675.20	
0.06	-0.06	1.12	1.13	279.20	376.80	470.40	664.23	
0.06	-0.06	1.13	1.13	304.00	364.00	417.60	631.90	
0.06	-0.06	1.13	1.13	292.80	341.60	417.60	613.85	
0.06	-0.06	1.12	1.12	316.80	322.40	259.20	521.05	
0.06	-0.06	1.12	1.12	287.20	291.20	259.20	484.22	
0.06	-0.06	1.12	1.12	286.40	297.60	250.40	483.00	
0.06	-0.06	1.12	1.12	259.20	257.60	220.80	426.96	
0.06	-0.06	1.12	1.12	253.60	254.40	245.60	435.15	
0.06	-0.06	1.11	1.11	210.40	257.60	183.20	379.72	
0.06	-0.06	1.11	1.11	207.20	260.80	199.20	388.11	
0.06	-0.06	1.11	1.11	203.20	205.60	199.20	351.06	
0.06	-0.05	1.10	1.11	203.20	205.60	227.20	367.67	
0.06	-0.05	1.10	1.10	199.20	107.20	174.40	285.64	
0.06	-0.05	1.10	1.11	199.20	115.20	172.80	287.77	
0.06	-0.05	1.10	1.11	142.40	118.40	161.60	245.79	
0.06	-0.05	1.10	1.11	167.20	112.00	147.20	249.33	
0.06	-0.05	1.10	1.11	170.40	122.40	147.20	256.29	
0.06	-0.05	1.10	1.11	170.40	122.40	134.40	249.16	
0.06	-0.05	1.10	1.11	162.40	86.40	130.40	225.48	
0.06	-0.05	1.11	1.11	162.40	89.60	68.80	197.83	
0.06	-0.05	1.11	1.11	91.20	87.20	64.80	141.85	
0.06	-0.05	1.11	1.11	115.20	77.60	64.00	152.93	
0.06	-0.05	1.11	1.11	113.60	77.60	62.40	151.06	
0.06	-0.05	1.11	1.11	125.60	77.60	68.00	162.55	
0.06	-0.05	1.11	1.11	132.00	56.00	68.00	158.69	
0.06	-0.05	1.11	1.11	120.00	56.00	68.00	148.86	
0.06	-0.05	1.11	1.11	127.20	48.00	66.40	151.30	
0.06	-0.05	1.11	1.11	127.20	40.00	66.40	148.96	
0.06	-0.05	1.11	1.11	127.20	40.00	70.40	150.78	
0.06	-0.05	1.11	1.11	131.20	31.20	70.40	152.13	
0.06	-0.05	1.11	1.11	128.80	31.20	53.60	142.95	
0.06	-0.05	1.11	1.11	91.20	30.40	69.60	118.68	
0.06	-0.05	1.11	1.11	78.40	40.00	93.60	128.48	
0.06	-0.05	1.11	1.11	64.80	40.00	88.80	116.98	
0.06	-0.05	1.11	1.11	64.00	31.20	104.00	126.04	
0.06	-0.05	1.11	1.11	57.60	31.20	110.40	128.37	
0.06	-0.05	1.11	1.11	56.00	31.20	121.60	137.46	
0.06	-0.05	1.11	1.11	65.60	31.20	121.60	141.65	
0.06	-0.05	1.11	1.11	65.60	43.20	138.40	159.14	
0.06	-0.05	1.11	1.11	50.40	36.00	135.20	148.71	
0.06	-0.05	1.11	1.11	73.60	52.80	141.60	168.09	
0.06	-0.05	1.11	1.11	77.60	50.40	141.60	169.15	
0.06	-0.04	1.11	1.11	77.60	126.40	149.60	210.66	
0.06	-0.04	1.11	1.11	204.00	118.40	146.40	277.61	
0.05	-0.04	1.11	1.11	244.80	149.60	132.80	316.14	
0.05	-0.04	1.11	1.11	244.80	155.20	139.20	321.54	
0.04	-0.04	1.11	1.11	244.80	161.60	124.00	318.46	
0.04	-0.04	1.11	1.11	236.00	162.40	121.60	311.22	
0.04	-0.04	1.11	1.11	229.60	213.60	134.40	341.18	
0.04	-0.04	1.11	1.11	239.20	199.20	134.40	339.06	
0.04	-0.04	1.11	1.11	251.20	185.60	110.40	331.27	
0.03	-0.04	1.11	1.11	239.20	268.00	114.40	377.00	
0.04	-0.04	1.11	1.11	296.80	233.60	160.00	410.19	
0.04	-0.04	1.11	1.11	296.80	359.20	135.20	485.17	
0.03	-0.03	1.11	1.11	334.40	359.20	240.80	546.66	
0.03	-0.03	1.11	1.11	376.00	316.00	222.40	539.16	
0.03	-0.04	1.10	1.10	376.00	618.40	331.20	795.92	
0.04	-0.06	1.11	1.11	858.40	986.40	471.20	1389.92	
0.06	-0.06	1.11	1.11	858.40	986.40	437.60	1378.89	
0.07	-0.06	1.11	1.11	858.40	1139.20	494.40	1509.66	
0.07	-0.06	1.11	1.11	831.20	1203.20	494.40	1543.70	
0.08	-0.07	1.11	1.11	708.80	1293.60	494.40	1555.71	
0.07	-0.07	1.11	1.11	708.80	1293.60	483.20	1552.19	
0.07	-0.07	1.10	1.11	708.80	1252.00	458.40	1509.98	
0.08	-0.08	1.11	1.11	805.60	1275.20	466.40	1578.81	
0.09	-0.08	1.11	1.11	884.80	1156.00	466.40	1528.64	
0.10	-0.08	1.11	1.12	654.40	1156.00	345.60	1372.59	
0.08	-0.06	1.11	1.11	829.60	711.20	345.60	1146.07	
0.07	-0.06	1.10	1.11	664.80	676.00	240.00	978.03	
0.06	-0.07	1.11	1.11	642.40	444.80	217.60	811.09	
0.06	-0.06	1.11	1.11	622.40	604.80	204.80	891.69	
0.06	-0.05	1.11	1.11	622.40	488.00	288.80	841.98	
0.06	-0.07	1.09	1.10	652.80	713.60	651.20	1165.95	
0.06	-0.07	1.09	1.10	556.00	595.20	651.20	1042.81	
0.06	-0.08	1.08	1.09	605.60	848.80	853.60	1347.53	
0.06	-0.08	1.08	1.08	605.60	1100.80	853.60	1518.93	
0.05	-0.06	1.08	1.08	668.80	1216.00	853.60	1629.29	
0.06	-0.06	1.08	1.08	1025.60	1234.40	906.40	1843.14	
